city,station_ids,station_names
Indore,"['site_5248', 'site_5856', 'site_5855', 'site_5854', 'site_5709']","['Chhoti Gwaltoli, Indore - MPPCB', 'Maguda Nagar, Indore - IMC', 'Regional Park, Indore - IMC', 'Residency Area, Indore - IMC', 'Vijay Nagar Scheme-78, Indore - Glenmark']"
Virudhunagar,['site_5979'],"['Collectorate Office, Virudhunagar - TNPCB']"
Yadgir,['site_5254'],"['Collector Office, Yadgir - KSPCB']"
Gwalior,"['site_5273', 'site_5667', 'site_5661', 'site_5275']","['City Center, Gwalior - MPPCB', 'Deen Dayal Nagar, Gwalior - MPPCB', 'Maharaj Bada, Gwalior - MPPCB', 'Phool Bagh, Gwalior - Mondelez Ind. Food']"
Thoothukudi,['site_5367'],"['Meelavittan, Thoothukudi - TNPCB']"
Gummidipoondi,['site_5362'],"['Anthoni Pillai Nagar, Gummidipoondi - TNPCB']"
Bidar,['site_5418'],"['Naubad, Bidar - KSPCB']"
Haveri,['site_5420'],"['Ashwini Nagar, Haveri - KSPCB']"
Bahadurgarh,['site_5045'],"['Arya Nagar, Bahadurgarh - HSPCB']"
Tirupati,"['site_258', 'site_5666']","['Tirumala, Tirupati - APPCB', 'Vaikuntapuram, Tirupati - APPCB']"
Ambala,['site_5052'],"['Patti Mehar, Ambala - HSPCB']"
Gangtok,['site_5590'],"['Zero Point GICI, Gangtok - SSPCB']"
Arrah,['site_5538'],"['New DM Office, Arrah - BSPCB']"
Chhapra,['site_5545'],"['Darshan Nagar, Chhapra - BSPCB']"
Samastipur,['site_5552'],"['DM Office_Kasipur, Samastipur - BSPCB']"
Jhansi,['site_5583'],"['Shivaji Nagar, Jhansi - UPPCB']"
Vapi,['site_5071'],"['Phase-1 GIDC, Vapi - GPCB']"
Dewas,['site_1404'],"['Bhopal Chauraha, Dewas - MPPCB']"
Hisar,['site_5057'],"['Urban Estate-II, Hisar - HSPCB']"
Damoh,['site_5040'],"['Shrivastav Colony, Damoh - MPPCB']"
Nashik,"['site_304', 'site_5782', 'site_5781', 'site_5779']","['Gangapur Road, Nashik - MPCB', 'Hirawadi, Nashik - MPCB', 'MIDC Ambad, Nashik - MPCB', 'Pandav Nagari, Nashik - MPCB']"
Shivamogga,['site_5266'],"['Vinoba Nagara, Shivamogga - KSPCB']"
Ludhiana,['site_253'],"['Punjab Agricultural University, Ludhiana - PPCB']"
Belgaum,['site_5432'],"['Ramteerth Nagar, Belgaum - KSPCB']"
